# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-4.250467e-11	2.543450e+04	-2.231104e-12	-4.362022e-11	4.138911e-11
0.001         	3.025783e-04	6.167662e+03	-9.815414e-03	-4.605128e-03	-5.210285e-03
0.002         	-4.303886e-04	-3.990274e+02	9.603534e-03	4.371378e-03	5.232155e-03
0.003         	8.547248e-04	1.313891e+03	1.857256e-03	1.783353e-03	7.390309e-05
0.004         	-5.402511e-04	4.678343e+02	-1.106805e-03	-1.093653e-03	-1.315125e-05
0.005         	1.114749e-03	7.300997e+02	1.875421e-03	2.052459e-03	-1.770381e-04
0.006         	7.218723e-04	5.281252e+02	-7.196639e-04	3.620403e-04	-1.081704e-03
0.007         	7.503584e-04	5.599390e+02	-3.853140e-03	-1.176211e-03	-2.676928e-03
0.008         	4.971315e-04	4.982265e+02	1.114629e-03	1.054446e-03	6.018309e-05
0.009         	4.210718e-04	4.886708e+02	-1.832039e-03	-4.949475e-04	-1.337091e-03
0.01          	2.134425e-04	4.616305e+02	7.240982e-04	5.754917e-04	1.486066e-04
0.011         	1.096987e-04	4.474898e+02	-2.306649e-04	-5.633801e-06	-2.250311e-04
0.012         	2.009066e-05	4.311155e+02	1.082206e-03	5.611937e-04	5.210123e-04
0.013         	-9.664830e-05	4.187152e+02	3.908013e-04	9.875233e-05	2.920489e-04
0.014         	-1.749725e-04	4.068153e+02	6.034192e-04	1.267371e-04	4.766821e-04
0.015         	-2.802192e-04	3.966278e+02	7.319889e-04	8.577530e-05	6.462136e-04
0.016         	-3.719503e-04	3.872373e+02	8.755394e-04	6.581941e-05	8.097200e-04
0.017         	-4.550700e-04	3.788188e+02	7.736602e-04	-6.823989e-05	8.419001e-04
0.018         	-5.327185e-04	3.710999e+02	9.363944e-04	-6.452135e-05	1.000916e-03
0.019         	-6.474729e-04	3.640516e+02	7.914391e-04	-2.517534e-04	1.043192e-03
0.02          	-7.060859e-04	3.575020e+02	4.555833e-04	-4.782942e-04	9.338776e-04
0.021         	-7.583629e-04	3.514895e+02	7.004519e-04	-4.081370e-04	1.108589e-03
0.022         	-8.571593e-04	3.459068e+02	5.302261e-04	-5.920463e-04	1.122272e-03
0.023         	-9.530348e-04	3.406906e+02	5.968935e-04	-6.545881e-04	1.251482e-03
0.024         	-9.944246e-04	3.357928e+02	5.597169e-04	-7.145662e-04	1.274283e-03
0.025         	-1.082423e-03	3.312467e+02	5.376154e-04	-8.136154e-04	1.351231e-03
0.026         	-1.170785e-03	3.269433e+02	5.295931e-04	-9.059887e-04	1.435582e-03
0.027         	-1.253855e-03	3.228950e+02	5.099613e-04	-9.988747e-04	1.508836e-03
0.028         	-1.333729e-03	3.190653e+02	4.998649e-04	-1.083797e-03	1.583662e-03
0.029         	-1.408560e-03	3.154384e+02	4.838432e-04	-1.166638e-03	1.650481e-03
0.03          	-1.485526e-03	3.120030e+02	4.828728e-04	-1.244090e-03	1.726962e-03
0.031         	-1.561511e-03	3.087379e+02	4.721893e-04	-1.325417e-03	1.797606e-03
0.032         	-1.637182e-03	3.056313e+02	4.679499e-04	-1.403207e-03	1.871157e-03
0.033         	-1.713365e-03	3.026707e+02	4.616652e-04	-1.482533e-03	1.944198e-03
0.034         	-1.831320e-03	2.998710e+02	4.251097e-04	-1.618766e-03	2.043875e-03
0.035         	-1.906949e-03	2.971380e+02	4.531919e-04	-1.680354e-03	2.133545e-03
0.036         	-1.975343e-03	2.945526e+02	4.288472e-04	-1.760920e-03	2.189767e-03
0.037         	-2.046213e-03	2.920673e+02	4.411484e-04	-1.825639e-03	2.266787e-03
0.038         	-2.154845e-03	2.897141e+02	3.975851e-04	-1.956052e-03	2.353638e-03
0.039         	-2.231498e-03	2.873996e+02	4.429200e-04	-2.010038e-03	2.452958e-03
0.04          	-2.304545e-03	2.852083e+02	4.172847e-04	-2.095903e-03	2.513188e-03
0.041         	-2.411223e-03	2.831127e+02	3.919135e-04	-2.215267e-03	2.607180e-03
0.042         	-2.488149e-03	2.810469e+02	4.282636e-04	-2.274018e-03	2.702281e-03
0.043         	-2.562331e-03	2.790866e+02	4.101961e-04	-2.357233e-03	2.767429e-03
0.044         	-2.669255e-03	2.772122e+02	3.814596e-04	-2.478526e-03	2.859985e-03
0.045         	-2.750028e-03	2.753522e+02	4.219100e-04	-2.539073e-03	2.960983e-03
0.046         	-2.859945e-03	2.736134e+02	1.992588e-04	-2.760315e-03	2.959574e-03
0.047         	-2.931363e-03	2.718677e+02	5.483411e-04	-2.657192e-03	3.205534e-03
0.048         	-3.044893e-03	2.702378e+02	1.338367e-04	-2.977975e-03	3.111811e-03
0.049         	-3.120931e-03	2.686027e+02	5.766216e-04	-2.832620e-03	3.409241e-03
0.05          	-3.234772e-03	2.670724e+02	1.147883e-04	-3.177378e-03	3.292166e-03
0.051         	-3.311446e-03	2.655302e+02	3.604544e-04	-3.131219e-03	3.491673e-03
0.052         	-3.414341e-03	2.640951e+02	2.401713e-04	-3.294255e-03	3.534427e-03
0.053         	-3.501071e-03	2.626387e+02	2.848194e-04	-3.358661e-03	3.643480e-03
0.054         	-3.605241e-03	2.612875e+02	2.673823e-04	-3.471550e-03	3.738932e-03
0.055         	-3.723976e-03	2.599427e+02	2.548511e-04	-3.596550e-03	3.851401e-03
0.056         	-3.808177e-03	2.586031e+02	2.486065e-04	-3.683874e-03	3.932480e-03
